영화명,유형,장르,제작년도,감독,actor
나의 PS 파트너,극영화,"멜로드라마,코메디",2012,변성현,"지성,김아중,신소율,강경준,김성오,정수영,문지윤,김보미,이재원,이미소,김지훈,곽지민,황승언,정성윤,윤하린,윤진하,오경수,정영기,정종열,최교식,최은두,석한별,정형호,손영환,최은석,윤주,배단희,정다연,박재영,설팡희,김성우,정찬성,최유라,한송이,문서빈,이해동,이강철,박비토,김현숙,우영미,조경화,고도은,김주오,정승민,지은,안소희,김원진,송규용,박준기,백낙순,전헌태,김주령,옥지영,탁트인,김보연,신해철,김준호"
목격자의 밤,극영화,"드라마,미스터리",2012,박범,"변요한,곽자형,남문철,박성연"
러시안 소설,극영화,"드라마,멜로드라마,미스터리",2012,신연식,"김인수,강신효,경성환,김정석,최종률,이재혜,이경미,김상미,박민정,노수경,이유미,이빛나,길창규,양성규,이현호,서정식,최명효,극단 소울메이트,박상아,정훈희"
"1999, 면회",극영화,"드라마,청춘영화",2012,김태곤,"심희섭,김창환,안재홍,김꽃비,황미영,최형선,김아람,진태철"
반달곰,극영화,드라마,2012,이정홍,"최경준,강연정,박지성,정보창,신재혁"
설마 그럴리가 없어,극영화,"멜로드라마,드라마",2012,조성규,"최윤소,이능룡,서범석,백현진,전지후,이종호,몬구,이상순,임주연,정중엽 ,김준기,장석원,장수진,심재현,손승희,김정은,유나미,홍지영,이은채,김수연,백재호,이미형,박경옥,심재욱,박지홍,신지현,전두관,김혜국,우상회,조성규,마리킴,마늘이,황현희,김태우,예지원,김수연"
이웃사람 ,극영화,스릴러,2012,김휘,"김윤진,마동석,천호진,김성균,김새론,임하룡,장영남,도지한,김기천,이장유,곽민석,차현우,조유신,한성천,김미경,유민경,성인자,김우진,조주경,오정원,신나리,윤민수,유성균,박종혁,전재영,유재현,김동현,설지윤,강혜경,한재훈,박인규,김영희,지수민,김태희,조아라,한준혁,이도아,석은후,강풀,김정태,정인기,차광수"
5백만불의 사나이 ,극영화,코메디,2012,김익로,"박진영,민효린,조성하,조희봉,오정세,김준배,이상홍,한철우,장대윤,고경표,탁트인,서지승,윤미영,장남열,변정현,이선구,박지원,도승지,허승,주광현,김주영,이원익,김계선,전소현,정동규,함태영,박채익,김기성,하세진,한설,강혜경,강규영,차승호,박진수,이유수,이상혁,신율이,김하얀,로라 로즈,한소율,한유림,최세윤,이동훈,이현성,임준규,정호준,성낙원,고효경,조준상,장호준,곽지혜,정혜승),이경영,이영후,조진웅,정성화,이병준,박병은,조스타"
"힘내세요, 병헌씨",극영화,인물,2012,이병헌,"조향기,홍완표,양현민,허준석,김영현,이하늬,최다연,장호비,서경진,이문근,신연숙,황인국,손미애,이소안,김경진,김창렬,김혜주,한기윤,정현정,신수연,윤세령,이창한,조정흠,박영석,김규진,최참사랑,손범수,김현숙,이병헌,김경진,김은미,배재식,서상현,김인선,유면희,이승훈,한기정,박성민,김남순,이혁,곽인혜,조휘상,조현아,양동엽,전문수,심상혁,강호규,조영진,이재광,정성화,과묵이,최재원,강형철,이성재,강소라,VIVID"
맥주사탕,극영화,드라마,2012,정희영,"조호천,이승연,김민주"
질식,극영화,드라마,2012,권오광,"오창경,장윤실,송하림,이세랑"
맛있는 스캔들,극영화,멜로드라마,2012,이세일,"이신애 ,이득진"
7번방의 선물,극영화,"드라마,코메디",2012,이환경,"류승룡,박신혜,갈소원,정진영,오달수,박원상,김정태,정만식,김기천,박길수,조재윤,정한비,조덕현),이윤회,조주경),강예서,강승완,이승연,염상태,김세동,여무영,윤선우,이윤희,한성용,서승인,정문엽,정희태,전헌태,김배건,오창경,임재민,민정기,성형진,선학,김순태,오세준,김원영,김동민,심혜규,장현정,차상미,김현숙,한태현,박정아,김지인,노강민,안성훈,정재민,이상,노하늘,신윤정,장호준,최로운,김영진,김봉수,양희선,유달산,이관호,백수완,김현수,김신일,이서현,김정민,고새얀,이선윤,최미현,전소영,장영은,김연지,강지우,고성빈,이선호,이승원,오지민,김민서,김유림,강유정,안은샘,김윤수,박윤채,장가연,윤혜리,심아이리,태가인,엄정미,이보라,박시연,신유경,박윤채,조수빈,이서연,정민서,홍현수,김민주,박혜준,이지윤,최지현,이지우,서지현,양가은,이지윤,최지현,이지우,이영서,정미르,신동하,이영준,한지희,김민서,이현준,유영은,구성은,정수민,정윤서,오정우,윤무진,이예승,강채연,오윤지,심규리,이지원,허서영,김한비,내주원,윤보라,서현,김수정,하도욱,배준상,박수진,김아름,유인상,박정배,김대영,모선후,박충식,박유경,김재익,설선미,박소혜,윤미소,신승우,이효선,이유근,이인창,신유경,윤나영,이준영,최민,김동현,조연우,이성휘,김성길,추효경,박상면,송이우,오주연,김범래,윤기창,최로운"
누구의 딸도 아닌 해원,극영화,드라마,2012,홍상수,"이선균,정은채,김의성,유준상,예지원,김자옥,기주봉,류덕환,안재홍,배유람,신선,정다원,안선영,김주희,제인 버킨"
화이팅패밀리,극영화,"드라마,가족",2012,"김성호,구상범","이명행 ,최희진,장소연,서영주,김민서,이우정,박란,배용근,양은용,강예서,선우슬기,김한,서동수"
차형사,극영화,"코메디,액션",2012,신태라,"강지환,성유리,신정근,박정학,이희준,이수혁,김영광,손병욱,신민철,김민경,홍석천,라미란,최귀화,윤봉길,이준규,이태형,이태검,주영호,홍승일,박보검,김지영,김세정,이은채,박영웅,조규준,손현우,정재원,배준우,송희정,나종수,이경미,윤선영,이한샘,긱명수,공건부,성혁,박유리나,허명행,한대희,이대수,김아름,최영민,양윤영,신석철,차미관,김범진,박경목,권호영,이근호,이상협,이강민,김종훈,최광제,이대진,이성재,장훈,허다정,최윤슬,서현미,박은석,박상아,이소정,최예지,김지은,이예지,성시호,양성식,양호식,이지윤,이수현,송은주,최지은,엘리샤,헤일린,리나,루바,마샤,타냐,주선영,황세진,최진규,조쉬,황윤상,김주연,김경우,문성훈,박노혁,김정규,전지한,이전도,조성수,최동연,이재훈,강동구,최현주,조준형,김동찬,여연희,이유진,김채윤,하윤채,김혜아,박용제,김원홍,박성대,장혜진,서재윤,권문정,김정석,김영민,김형범,김우빈,강동준,고태용"
그여자 그남자의 속사정,극영화,"멜로드라마,코메디",2012,이윤형,"정다혜,연제욱,서지석,한설아 ,이상일,김기천,이민웅,정하늬,김시권,홍금님,김문주,정재형,김형기,조수정,주은실,박지영,정애화,선호진,김연호,김훈,박우진,박명숙,이춘성,김연호,이선임,주은실"
철가방 우수씨,극영화,드라마,2012,윤학렬,"최수종,기주봉,이수나,이미지,김정균,장혜숙,김광식,권영찬,안계범,오지헌,조영완,최우빈,신귀식,전병철,이한솔,이병욱,이유하,윤희,김민승,김영철,박관주,송주경,이태훈,한유주,김지홍,황성아,정민아,김지윤,송단아,이훈성,임효순,임선우,김민수,이재환,이철희,최동엽,황도원,정정문,조라용,신서현,조정현,김태우,박상태,이종신,박진수,최영락,조근영,손종환,이우미,이후성,홍재성,유지현,강빛,김두현,신영규,양혜경,김영주,김정연,김소정,김삼수,이성숙,김보희,김동희,김대희,김동희,강승호,박승현,김승찬,유수민,백건우,박민수,김수미,윤지영아나운서"
백야,극영화,"멜로/로맨스,동성애",2012,이송희일,"원태희,이이경,현성,이상범,이세호,장현종,박민석,박소영,이지성,김현경,안정원,정민희,현재민,수재민,메뮤,김예지,강혜선,김헤미,김보람,송보실,김선민,황수현,상히,유정미,이은지,임철민,이마루,김성균,황지영,고안원석,한가람,디오,이현우,조우진,김정곤,김승혁,서상영,변지호,서혜림,박윤창,정경환"
남쪽으로 간다,극영화,멜로드라마,2012,이송희일,"김재흥,전신환"
지난 여름 갑자기,극영화,드라마,2012,이송희일,"김영재,한주완"
터치,극영화,드라마,2012,민병훈,"유준상,김지영,윤다경,이승연,장정원,김기승,채빈,전종채,백수련,김도식,성준서,손희순,안성진,이남희,임옥상,문정대,임여문,마리킴,한재영,오은희,오다영,공미나,김빛새날,강진구,정산 김연식,김민성,라선화,한미미,하순주,강두리,김수민,이정권,도성욱,김윤섭,주윤배,김진석,김종철,강수영,이춘영,이서준,남현철,이상훈,김태성,이찬민,김동호,채수웅,한현진,김성준,유아라,이주빈,변세영,조병우,민휴,김나리,김유현,서하나,유채빈,최혜선,고은설,이수정,최주용,이지연,진영수,김경미,이철규,박진실,장주철,변성만,송지애,권재희,이부영,조민지,천경자,이영희,전윤월,문태산,강태영,조상연,라홍준,오승현,박준석,이성재,김건우,정석현,박효빈,이재구,전병준,오영호,전오진,김경환,여정재,서장혁,최종협,정재정,임충근"
반창꼬,극영화,멜로/로맨스,2012,정기훈,"고수,한효주,마동석,김성오,쥬니,진서연,오수민,조경훈,윤세웅,김국진),노진영),김서경),김민준),홍지원),박용제,황준영,유필란,이나경,장린아,조은비,윤민우,이도아,박병렬,한제인,유민희,하정희,임정선,최민규,김태호,전성환,이상은,박이슬,안지혜,장원종,송용운,전범희,김대환,조현우,전용식,이수정,김영웅,김묘정,김유리,조성모,최영,정진영,양동근,조민기,이달형,이동규,진정로,이휘향,김효정,이규창,김경옥,전효전,김진우,지명희,김태림,권민정,찰리스 패밀리"
아부의 왕,극영화,코메디,2012,정승구,"송새벽,성동일,이병준,김성령,고창석,한채아 ,차승원,장항준,이철민,기국서,김진욱,김민재,진헌태,이윤희,김예린,김종수,황석정,박미현,박보경,이현정,한서진,김동현,나종민,진선규,채희재,장명갑,이동용,김선하,조용석,조한희,손지윤,김보민,우지순,김미준,박은영,신지연,이재은,박팔영,윤희철,이재훈,추연규,조화영,한세영,최영신,백미광,김태현,우상윤,유성균,노지호,강숙,이성재,차상미,윤영진,양해준,나삭헤러 나스,유인재,김은경,장경희,옥주리,김가담,김니나,김명진,김수현,곽미자,김은영,정승욱,김정선,안승혁,신봉곤,송규용,김종철,김진성,박서연,박일목"
가시꽃,극영화,드라마,2012,이돈구,"남연우,양조아,홍정호,강기둥,김희성,서연경),손상규),조아라),임성균),이병길),김정영),사티시),김미란),정재영),나혜진),한명수),김보경),황희),안성민),김영우),박유미),이철민"
파파,극영화,"코메디,드라마,가족",2012,한지승,"박용우,고아라,손병호,고든 앤서니 맥밀런,맥 켈리,페이튼 타운센드,파커 타운센트,안젤라 아자르,윤승훈,섀린 실즈,제레미아 홉스,리랜드 존스,알버트 리,잔 팍 숄 ,연승주,마이클 비슬리,체이스 앤더슨,주스틴 알퍼트,파비안 윤,줄리안 퀸타트,이규섭,신나라,김아람,카렌 키이스,마이크 필,제이크 마스,안제라 코,홀리 브릿,타케시 파텔,수잔 살라니,최경선,정명숙,개리 찰스,아프리칸 아트,퍼 패터슨,에이미 만투스,크리스티나 장가스,조슈아 버월드,성상배,앨리셔 율다쉐브,다니엘 제임스 맥코이,카짐 지나두 ,존 응워수,세이니 압둘레이,이법왕,모에카 음봉고 마셜,서태화,심혜진,다니엘 헤니,박상철,양정윤,윤정호 선생님,나상호 회장님,외 애틀란타 한인 노인회 어르신들"
아직 할 말이 남았지만 ,극영화,드라마,2012,잉량,"내 안,케이트 웬"
세계일주,극영화,"코메디,드라마,어드벤처,가족",2012,이항배,"박하영,구승현,김정태,성유빈 ,손여은,타이거JK,최정우,이소윤,강현욱,김태민,김지경,김무경,태인호,백수련,고인범,김보빈,한근섭,남연우,김혜원,김서원,김명은,이은채,정찬훈,나윤성,강현우,정석용,정민성,이동용,유창숙,이종구,김진호,김연희,김단,박형철,남성준,김윤섭,박지성,노승균,배성민,이우석,채연우,박서진,지대한"
남쪽으로 튀어,극영화,"드라마,코메디",2012,임순례,"김윤석,오연수,한예리,백승환,박사랑,김성균,주진모,정문성,이도경,김태훈,송삼동,김영웅,김형태,장희진,어주선,김홍파,남포동,문경민,김희창,박상규,정형석,유하복,윤민,전수지,김효준,성도현,정승환,유재명,박진우,양희명,김선빈,한국진,차정환,박근백,김영진,이청기,차승호,이승찬,오창경,안중권,이준혁,전광진,정도원,김고은,이현경,함성민,우민규,최다엘,정준원,이존승,이민수,이재동,김대진,공유석,정영기,서은아,김소라,김지나,김남순,박윤호,박채익,김종태,이동휘,백수장,고봉구,이민호,유일한,설유진,오희준,권정연,윤종구,우영택,최성태,최우영,천영암,전준형,김경덕,김태용,오형근,김윤정,최설,송효구,안서현,홍지은,신나리,양희결,김묘진,김학룡,신재훈,조성범,윤혜성,강기영,김섬,김연희,신신범,황인준,조현철,유민경,김진보,서현기,박민화),박원상,김종구,이대연,라미란,김도연,김자영,허정범"
